Var Par Value,Seed,KSIM,AWACE
0.19,6,0.046062861475195255,0.024681450113918455
0.19,7,0.042925131937586972,0.023491813881873651
0.19,8,0.041783837328465592,0.02394239187163693
0.19,9,0.035850136831079106,0.024194880385091395
0.2,0,0.039660586439333588,0.025490925692844627
0.2,1,0.044487673402323367,0.025558453888357733
0.2,2,0.046136332505046639,0.025776953647308795
0.2,3,0.038317806375650368,0.025742490282735151
0.2,4,0.044899557323677473,0.026192043718033381
0.2,5,0.042677961329158118,0.025644987598380589
0.2,6,0.04729047255018138,0.026460663097170413
0.2,7,0.04409661888473515,0.025389465148158336
0.2,8,0.04213026652160104,0.026001015939602752
0.2,9,0.038567865692530422,0.025588809320405338
