Case study,It.,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Budapest,0,0.90069439797786188,0.057466042080549222,0.50660295007284195,0.68644083302844339,0.64412193764254144,0.60152296122008664,0.5430205295424142,0.72807943159360888,0.60008780823097119,0.62577527857984738,0.74823978498059029,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,1,0.90086120961595051,0.058874898646468596,0.50450218012493575,0.68670434921646983,0.64151728310294531,0.60290502642118238,0.54269430981335465,0.72755658476780161,0.60336219844742067,0.62577527857984738,0.74874380943508367,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,2,0.9006592797382641,0.056413931523972706,0.50421829229413773,0.6851232520883116,0.6394609768874745,0.60262861338096319,0.54269430981335465,0.72775767970080441,0.60096097895535772,0.62577527857984738,0.74872089923260665,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,3,0.90064172061846537,0.055475414553072332,0.50643261737436307,0.68675454277609382,0.64083184769778834,0.60373426554183973,0.54280304972304105,0.72791855564720664,0.60183414967974425,0.62644915262802292,0.74895000125737632,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,4,0.9006592797382641,0.057401647953807686,0.50387762689717996,0.68620241362022916,0.64535572137182384,0.60301559163726992,0.54269430981335465,0.72807943159360888,0.60161585699864761,0.62555065389712217,0.74906455226976121,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,5,0.90052758633977292,0.055344021898588544,0.50700039303595934,0.68665415565684573,0.64083184769778834,0.60218635251661257,0.5424768299939815,0.72799899362040776,0.60117927163645424,0.62532602921439706,0.74899582166233036,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,6,0.90063294105856573,0.056053175070722563,0.50365051663254135,0.68652867175778554,0.64069476061675701,0.60262861338096319,0.54263993985851133,0.72767724172760329,0.60139756431755087,0.62577527857984738,0.74846888700536007,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,7,0.90086120961595029,0.057764001591764091,0.50467251282341463,0.68672944599628172,0.6431623280753217,0.60345785250162054,0.54280304972304105,0.72779789868740508,0.60248902772303414,0.62555065389712217,0.74869798903012974,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,8,0.90062416149866631,0.054960412816845799,0.5098392713439408,0.68676709116599977,0.64371067639944723,0.60251804816487564,0.54291178963272757,0.72803921260700832,0.60117927163645424,0.62577527857984738,0.74853761761279092,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
Budapest,9,0.90078219357685574,0.055733546856251134,0.50921471811618479,0.68694276862468406,0.6431623280753217,0.60262861338096319,0.54280304972304105,0.72783811767400552,0.60117927163645424,0.62510140453167184,0.74876671963756058,0.42338485121551839,0.6998912105638293,0.89198853982523507,0.55440236538077703,0.62076711962669995,0.0
